Type,GraspType,Object,Reponses,Instruction
Hold,MediumWrap,Coin,0,How would you hold a coin?
Hold,Tripod,Coin,9,How would you hold a coin?
Hold,Writing,Coin,4,How would you hold a coin?
Hold,Lateral,Comb,12,How would you hold a comb?
Hold,MediumWrap,Comb,1,How would you hold a comb?
Hold,Tripod,Comb,1,How would you hold a comb?
Hold,Writing,Comb,6,How would you hold a comb?
Hold,Lateral,Compact disk,16,How would you hold a compact disk?
Hold,MediumWrap,Compact disk,0,How would you hold a compact disk?
Hold,Tripod,Compact disk,1,How would you hold a compact disk?
Hold,Writing,Compact disk,3,How would you hold a compact disk?
Hold,Lateral,Credit card,17,How would you hold a credit card?
Hold,MediumWrap,Credit card,0,How would you hold a credit card?
Hold,Tripod,Credit card,0,How would you hold a credit card?
Hold,Writing,Credit card,3,How would you hold a credit card?
Hold,Lateral,Cucumber,0,How would you hold a cucumber?
Hold,MediumWrap,Cucumber,16,How would you hold a cucumber?
Hold,Tripod,Cucumber,2,How would you hold a cucumber?
Hold,Writing,Cucumber,2,How would you hold a cucumber?
Hold,Lateral,Cup,1,How would you hold a cup?
Hold,MediumWrap,Cup,16,How would you hold a cup?
Hold,Tripod,Cup,1,How would you hold a cup?
Hold,Writing,Cup,2,How would you hold a cup?
Hold,Lateral,Dice,1,How would you hold a dice?
Hold,MediumWrap,Dice,2,How would you hold a dice?
Hold,Tripod,Dice,15,How would you hold a dice?
Hold,Writing,Dice,2,How would you hold a dice?
Hold,Lateral,Donut,9,How would you hold a donut?
Hold,MediumWrap,Donut,1,How would you hold a donut?
Hold,Tripod,Donut,9,How would you hold a donut?
Hold,Writing,Donut,1,How would you hold a donut?
Hold,Lateral,Earring,0,How would you hold an earring?
Hold,MediumWrap,Earring,0,How would you hold an earring?
Hold,Tripod,Earring,14,How would you hold an earring?
Hold,Writing,Earring,6,How would you hold an earring?
Hold,Lateral,Egg,1,How would you hold an egg?
Hold,MediumWrap,Egg,2,How would you hold an egg?
Hold,Tripod,Egg,16,How would you hold an egg?
Hold,Writing,Egg,1,How would you hold an egg?
Hold,Lateral,Envelope,15,How would you hold an envelope?
Hold,MediumWrap,Envelope,0,How would you hold an envelope?
Hold,Tripod,Envelope,1,How would you hold an envelope?
Hold,Writing,Envelope,4,How would you hold an envelope?
Hold,Lateral,Flashlight,1,How would you hold a flashlight?
Hold,MediumWrap,Flashlight,17,How would you hold a flashlight?
Hold,Tripod,Flashlight,1,How would you hold a flashlight?
Hold,Writing,Flashlight,0,How would you hold a flashlight?
Hold,Lateral,Flask,2,How would you hold a flask?
Hold,MediumWrap,Flask,13,How would you hold a flask?
Hold,Tripod,Flask,3,How would you hold a flask?
Hold,Writing,Flask,2,How would you hold a flask?
Hold,Lateral,Fork,4,How would you hold a fork?
Hold,MediumWrap,Fork,1,How would you hold a fork?
Hold,Tripod,Fork,1,How would you hold a fork?
Hold,Writing,Fork,14,How would you hold a fork?
Hold,Lateral,Fountain pen,1,How would you hold a fountain pen?
Hold,MediumWrap,Fountain pen,1,How would you hold a fountain pen?
Hold,Tripod,Fountain pen,1,How would you hold a fountain pen?
Hold,Writing,Fountain pen,16,How would you hold a fountain pen?
Hold,Lateral,Frisbee,18,How would you hold a frisbee?
